Header,Data
2024/01 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Mato Grosso	2024/18	2,356
Centro-Oeste	Mato Grosso Do Sul	2024/18	965
Nordeste	Alagoas	2024/18	530
Nordeste	Bahia	2024/18	10,914
Nordeste	Ceara	2024/18	652
Nordeste	Maranhao	2024/18	404
Nordeste	Paraiba	2024/18	369
Nordeste	Pernambuco	2024/18	849
Nordeste	Piaui	2024/18	552
Nordeste	Rio Grande Do Norte	2024/18	496
Nordeste	Sergipe	2024/18	50
Norte	Acre	2024/18	63
Norte	Amapa	2024/18	201
Norte	Amazonas	2024/18	98
Norte	Para	2024/18	553
Norte	Rondonia	2024/18	77
Norte	Roraima	2024/18	9
Norte	Tocantins	2024/18	217
Sudeste	Espirito Santo	2024/18	4,566
Sudeste	Minas Gerais	2024/18	53,804
Sudeste	Rio De Janeiro	2024/18	7,894
Sudeste	Sao Paulo	2024/18	144,928
Sul	Parana	2024/18	37,183
Sul	Rio Grande Do Sul	2024/18	15,839
Sul	Santa Catarina	2024/18	22,016"
2024/19 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/19	3,580
Centro-Oeste	Goias	2024/19	14,184
Centro-Oeste	Mato Grosso	2024/19	2,310
Centro-Oeste	Mato Grosso Do Sul	2024/19	1,034
Nordeste	Alagoas	2024/19	527
Nordeste	Bahia	2024/19	9,668
Nordeste	Ceara	2024/19	511
Nordeste	Maranhao	2024/19	341
Nordeste	Paraiba	2024/19	384
Nordeste	Pernambuco	2024/19	908
Nordeste	Piaui	2024/19	598
Nordeste	Rio Grande Do Norte	2024/19	488
Nordeste	Sergipe	2024/19	49
Norte	Acre	2024/19	51
Norte	Amapa	2024/19	177
Norte	Amazonas	2024/19	90
Norte	Para	2024/19	531
Norte	Rondonia	2024/19	69
Norte	Roraima	2024/19	11
Norte	Tocantins	2024/19	184
Sudeste	Espirito Santo	2024/19	4,656
Sudeste	Minas Gerais	2024/19	44,782
Sudeste	Rio De Janeiro	2024/19	7,205
Sudeste	Sao Paulo	2024/19	156,189
Sul	Parana	2024/19	39,541
Sul	Rio Grande Do Sul	2024/19	14,207
Sul	Santa Catarina	2024/19	23,183"
2024/20 ,"Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Centro-Oeste	Distrito Federal	2024/20	3,126
Centro-Oeste	Goias	2024/20	11,538
Centro-Oeste	Mato Grosso	2024/20	1,842
Centro-Oeste	Mato Grosso Do Sul	2024/20	872
Nordeste	Alagoas	2024/20	596
Nordeste	Bahia	2024/20	7,493
Nordeste	Ceara	2024/20	447
Nordeste	Maranhao	2024/20	245
Nordeste	Paraiba	2024/20	360
Nordeste	Pernambuco	2024/20	878
Nordeste	Piaui	2024/20	667
Nordeste	Rio Grande Do Norte	2024/20	393
Nordeste	Sergipe	2024/20	47
Norte	Acre	2024/20	30
Norte	Amapa	2024/20	190
Norte	Amazonas	2024/20	73
Norte	Para	2024/20	436
Norte	Rondonia	2024/20	55
Norte	Roraima	2024/20	22
Norte	Tocantins	2024/20	189
Sudeste	Espirito Santo	2024/20	4,067
Sudeste	Minas Gerais	2024/20	34,436
Sudeste	Rio De Janeiro	2024/20	5,819
Sudeste	Sao Paulo	2024/20	145,813
Sul	Parana	2024/20	33,211
